"employee_id","absence_date","absence_type","absence_hours","paid_unpaid","department","manager"
"BLD-100002","2023-07-20","Unplanned","8","Unpaid","Procurement","Manoj Iqbal"
"BLD-100002","2025-10-12","Sick","8","Paid","Procurement","Manoj Iqbal"
"BLD-100002","2024-05-08","Unplanned","8","Paid","Procurement","Manoj Iqbal"
"BLD-100002","2023-09-07","Late","1","Unpaid","Procurement","Manoj Iqbal"
"BLD-100002","2024-11-23","Sick","8","Paid","Procurement","Manoj Iqbal"
"BLD-100002","2023-03-16","Late","3","Unpaid","Procurement","Manoj Iqbal"
"BLD-100002","2025-04-12","Unplanned","8","Paid","Procurement","Manoj Iqbal"
"BLD-100002","2023-08-02","Sick","8","Paid","Procurement","Manoj Iqbal"
"BLD-100002","2025-03-25","Unplanned","8","Unpaid","Procurement","Manoj Iqbal"
"BLD-100002","2025-01-18","Sick","8","Paid","Procurement","Manoj Iqbal"
"BLD-100003","2023-04-03","Unplanned","8","Paid","R&D","Waleed Cruz"
"BLD-100003","2023-01-26","Unplanned","8","Unpaid","R&D","Waleed Cruz"
"BLD-100004","2023-04-17","Late","1","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2025-07-11","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-02-29","Unplanned","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2025-07-01","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2023-08-08","Late","3","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-12-29","Late","2","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-05-17","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2023-09-27","Unplanned","8","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2023-05-06","Unplanned","8","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-09-21","Unplanned","8","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-11-26","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-10-22","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2023-02-03","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2023-10-31","Late","2","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2025-06-19","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2023-03-05","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-04-21","Unplanned","8","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-12-26","Unplanned","8","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2024-04-03","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2025-06-11","Sick","8","Paid","Corporate & Executive Office","Rowena Pereira"
"BLD-100004","2023-04-27","Unplanned","8","Unpaid","Corporate & Executive Office","Rowena Pereira"
"BLD-100005","2023-02-17","Unplanned","8","Unpaid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100005","2023-03-29","Sick","8","Paid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100006","2024-02-22","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2024-01-11","Other","8","Unpaid","IT & Digital","Rajesh Mansour"
"BLD-100006","2023-05-10","Unplanned","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2025-04-17","Late","3","Unpaid","IT & Digital","Rajesh Mansour"
"BLD-100006","2025-05-14","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2024-05-07","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2024-05-04","Unplanned","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2025-09-16","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2025-06-05","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2024-09-26","Late","1","Unpaid","IT & Digital","Rajesh Mansour"
"BLD-100006","2025-04-11","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2023-12-05","Unplanned","8","Unpaid","IT & Digital","Rajesh Mansour"
"BLD-100006","2024-11-18","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2025-04-10","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2024-03-31","Unplanned","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2024-12-25","Sick","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2023-06-08","Unplanned","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100006","2023-11-25","Unplanned","8","Paid","IT & Digital","Rajesh Mansour"
"BLD-100007","2023-06-18","Other","8","Unpaid","Quality Assurance & Food Safety","Khalid Al-Marri"
"BLD-100008","2024-08-20","Sick","8","Paid","Engineering & Maintenance","Ahmed Ibrahim"
