"employee_id","hire_date","termination_date","termination_reason","voluntary_involuntary","department","grade","manager","gender","age","tenure"
"BLD-100003","2019-11-11","2023-07-19","Resignation - Better Opportunity","Voluntary","R&D","G3","Waleed Cruz","Female","57","3.7"
"BLD-100005","2017-10-26","2024-06-09","Resignation - Relocation","Voluntary","Engineering & Maintenance","G8","Ramesh Kapoor","Male","49","6.6"
"BLD-100007","2015-08-29","2023-07-01","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G1","Khalid Al-Marri","Male","30","7.8"
"BLD-100010","2020-06-20","2025-05-07","Resignation - Relocation","Voluntary","Marketing","G2","Shobha Mahmoud","Female","58","4.9"
"BLD-100011","2010-10-21","2023-09-01","Resignation - Relocation","Voluntary","Finance","G4","Rajesh Malik","Male","33","12.9"
"BLD-100013","2010-10-29","2025-09-26","Resignation - Relocation","Voluntary","Marketing","G8","Anil Kapoor","Female","66","14.9"
"BLD-100014","2010-09-05","2024-04-23","Resignation - Personal Reasons","Voluntary","Engineering & Maintenance","G6","Ravi Youssef","Male","35","13.6"
"BLD-100018","2019-05-02","2025-04-24","Resignation - Relocation","Voluntary","Engineering & Maintenance","G6","Ramesh Kapoor","Male","31","6"
"BLD-100022","2019-10-03","2024-10-21","Resignation - Relocation","Voluntary","Sales & Distribution","G5","Krishna Thapa","Male","42","5.1"
"BLD-100024","2016-02-14","2023-06-29","Resignation - Personal Reasons","Voluntary","People & Culture","G5","Hind Youssef","Male","58","7.4"
"BLD-100026","2010-08-30","2024-11-07","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G7","Sameer Al-Sayed","Female","48","14.2"
"BLD-100029","2022-01-10","2024-10-24","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G1","Nadia Santos","Female","29","2.8"
"BLD-100031","2015-06-18","2023-12-22","Resignation - Better Opportunity","Voluntary","Engineering & Maintenance","G7","Ravi Youssef","Male","60","8.5"
"BLD-100035","2020-10-18","2023-09-04","Resignation - Better Opportunity","Voluntary","People & Culture","G8","Waleed Rai","Female","32","2.9"
"BLD-100037","2011-03-13","2025-09-22","Resignation - Personal Reasons","Voluntary","People & Culture","G5","Sara Santos","Female","36","14.5"
"BLD-100042","2022-01-20","2024-10-20","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G8","Khalid Ibrahim","Male","47","2.7"
"BLD-100043","2022-05-19","2024-09-05","Resignation - Better Opportunity","Voluntary","IT & Digital","G3","Juan Islam","Female","50","2.3"
"BLD-100044","2017-05-05","2025-08-06","Resignation - Relocation","Voluntary","People & Culture","G6","Fatima Malik","Male","56","8.3"
"BLD-100047","2012-09-19","2024-12-26","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G5","Nadia Thapa","Female","47","12.3"
"BLD-100048","2022-02-24","2023-06-02","Resignation - Personal Reasons","Voluntary","Farm Operations","G2","Tariq Pereira","Male","38","1.3"
"BLD-100049","2018-07-06","2023-06-30","Resignation - Personal Reasons","Voluntary","Finance","G2","Sanjay Gurung","Male","40","5"
"BLD-100050","2015-01-24","2023-03-30","Termination - Disciplinary","Involuntary","Farm Operations","G1","Faisal Mansour","Male","51","8.2"
"BLD-100053","2016-04-16","2023-06-13","Resignation - Relocation","Voluntary","Sales & Distribution","G1","Jose Malik","Male","58","7.2"
"BLD-100056","2018-05-23","2024-07-27","Resignation - Personal Reasons","Voluntary","Marketing","G8","Anil Kapoor","Female","43","6.2"
"BLD-100057","2022-06-18","2024-05-03","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G3","Pooja Mansour","Male","42","1.9"
"BLD-100058","2018-07-10","2025-04-12","Resignation - Better Opportunity","Voluntary","Quality Assurance & Food Safety","G1","Manoj Pereira","Male","46","6.8"
"BLD-100060","2012-05-08","2025-09-26","Termination - Redundancy","Involuntary","Procurement","G1","Priya Baig","Male","46","13.4"
"BLD-100062","2022-04-16","2024-02-18","End of Contract - Not Renewed by Employee","Voluntary","Quality Assurance & Food Safety","G5","Rajesh Kapoor","Male","49","1.8"
"BLD-100063","2019-07-13","2025-10-30","End of Contract - Not Renewed by Employee","Voluntary","Supply Chain & Logistics","G4","Layla Ahmed","Male","40","6.3"
"BLD-100064","2010-11-18","2023-08-22","End of Contract - Not Renewed by Employee","Voluntary","Finance","G2","Hassan Reyes","Female","51","12.8"
"BLD-100065","2020-10-24","2023-02-03","Termination - Disciplinary","Involuntary","Marketing","G4","Juan Sharma","Female","45","2.3"
"BLD-100067","2017-05-31","2023-03-01","Contract Non-Renewal - Company Decision","Involuntary","Sales & Distribution","G1","Bishnu Al-Marri","Male","49","5.7"
"BLD-100074","2011-03-18","2023-11-17","Resignation - Better Opportunity","Voluntary","Procurement","G5","Joy Reyes","Female","41","12.7"
"BLD-100076","2020-03-10","2025-02-01","Resignation - Better Opportunity","Voluntary","Marketing","G2","Nadia Iqbal","Male","57","4.9"
"BLD-100077","2017-09-30","2024-07-13","Resignation - Better Opportunity","Voluntary","Quality Assurance & Food Safety","G7","Sameer Al-Sayed","Male","37","6.8"
"BLD-100078","2014-11-12","2023-04-25","Resignation - Relocation","Voluntary","Engineering & Maintenance","G3","Yasmin Fernandes","Male","32","8.4"
"BLD-100079","2014-07-09","2023-06-01","Resignation - Better Opportunity","Voluntary","Procurement","G1","Hari Hassan","Female","35","8.9"
"BLD-100080","2021-10-06","2023-03-16","Resignation - Personal Reasons","Voluntary","Production","G3","Faisal Ibrahim","Male","53","1.4"
"BLD-100081","2021-03-15","2023-10-20","End of Contract - Not Renewed by Employee","Voluntary","Quality Assurance & Food Safety","G1","Sara Al-Marri","Female","36","2.6"
"BLD-100084","2012-10-22","2023-12-12","End of Contract - Not Renewed by Employee","Voluntary","Finance","G6","Omar Thapa","Female","65","11.1"
"BLD-100085","2015-08-02","2024-06-08","End of Contract - Not Renewed by Employee","Voluntary","Supply Chain & Logistics","G1","Santosh Devi","Male","55","8.9"
"BLD-100089","2017-04-15","2024-04-13","Termination - Performance","Involuntary","Supply Chain & Logistics","G1","Prakash Kapoor","Female","50","7"
"BLD-100092","2013-07-13","2025-12-23","End of Contract - Not Renewed by Employee","Voluntary","Production","G1","Tariq Youssef","Male","62","12.4"
"BLD-100094","2018-08-10","2023-09-21","Resignation - Relocation","Voluntary","Procurement","G7","Arjun Hassan","Male","53","5.1"
"BLD-100098","2020-05-06","2023-04-23","Resignation - Better Opportunity","Voluntary","Quality Assurance & Food Safety","G4","Dalia Baig","Male","36","3"
"BLD-100099","2013-03-23","2024-01-06","Resignation - Personal Reasons","Voluntary","Sales & Distribution","G2","Arjun Fernandes","Male","46","10.8"
"BLD-100100","2011-04-11","2024-11-21","Resignation - Personal Reasons","Voluntary","Sales & Distribution","G10","Waleed Gurung","Male","49","13.6"
"BLD-100103","2020-12-21","2025-09-04","Resignation - Better Opportunity","Voluntary","Corporate & Executive Office","G2","Santosh Islam","Female","39","4.7"
"BLD-100106","2014-08-24","2024-05-26","Termination - Disciplinary","Involuntary","Engineering & Maintenance","G3","Juan Kapoor","Male","43","9.8"
"BLD-100108","2020-09-13","2025-10-15","Termination - Redundancy","Involuntary","IT & Digital","G5","Waleed Chowdhury","Male","55","5.1"
"BLD-100110","2019-07-30","2024-07-25","Resignation - Personal Reasons","Voluntary","Procurement","G1","Joy Reyes","Female","56","5"
"BLD-100114","2013-10-11","2025-05-01","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G1","Ahmed Iqbal","Male","58","11.6"
"BLD-100115","2018-12-30","2025-12-30","Resignation - Better Opportunity","Voluntary","Engineering & Maintenance","G6","Suresh Devi","Male","31","7"
"BLD-100116","2012-12-06","2023-06-29","Resignation - Relocation","Voluntary","Sales & Distribution","G5","Mohamed Mahmoud","Male","55","10.6"
"BLD-100117","2011-01-04","2023-03-20","Resignation - Relocation","Voluntary","Finance","G2","Jose Malik","Male","34","12.2"
"BLD-100120","2015-05-05","2023-10-01","Contract Non-Renewal - Company Decision","Involuntary","Procurement","G5","Dina Mahmoud","Male","42","8.4"
"BLD-100123","2018-12-06","2025-11-12","Resignation - Personal Reasons","Voluntary","Procurement","G7","Ali Kapoor","Male","27","6.9"
"BLD-100124","2020-06-26","2023-12-06","Resignation - Relocation","Voluntary","Farm Operations","G9","Anil Cruz","Male","38","3.4"
"BLD-100129","2019-03-12","2025-08-19","Resignation - Relocation","Voluntary","People & Culture","G1","Noor Sharma","Male","34","6.4"
"BLD-100131","2018-06-21","2025-07-19","Termination - Redundancy","Involuntary","Sales & Distribution","G4","Arjun Fernandes","Male","61","7.1"
