"employee_id","employee_number","employee_name","preferred_name","gender","nationality","date_of_birth","age","marital_status","employment_status","employee_type","full_time_part_time","hire_date","confirmation_date","termination_date","termination_reason","length_of_service","legal_entity","business_unit","department","division","section","cost_center","position_id","position_title","job_family","job_grade","job_level","line_manager_id","line_manager_name","location","country","city","employment_category"
"BLD-100002","EMP000001","Vikram El-Sayed","Vikram","Male","Pakistani","1976-10-14","49","Married","Active","Permanent","Full Time","2021-08-14","2021-11-12",,,"4.4","Baladna Q.P.S.C. (Qatar)","Supply Chain","Procurement","Supply Chain","Procurement - Section 2","CC-637","POS-00001","Assistant Manager - Procurement","Procurement","G12","Managerial","BLD-100884","Manoj Iqbal","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100003","EMP000002","Aisha Khan","Aisha","Female","Egyptian","1966-06-25","57","Married","Terminated","Permanent","Full Time","2019-11-11","2020-02-09","2023-07-19","Resignation - Better Opportunity","3.7","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 3","CC-118","POS-00002","Associate - R&D","R&D","G3","Staff","BLD-101122","Waleed Cruz","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100004","EMP000003","Ravi Abdullah","Ravi","Male","Filipino","1987-03-16","38","Married","Active","Contract","Full Time","2018-01-31","2018-05-01",,,"7.9","Baladna Q.P.S.C. (Qatar)","Corporate","Corporate & Executive Office","Corporate","Corporate & Executive Office - Section 3","CC-577","POS-00003","Coordinator - Corporate & Executive Office","Corporate & Executive Office","G1","Staff","BLD-100391","Rowena Pereira","Doha Site","Qatar","Doha","Expatriate"
"BLD-100005","EMP000004","Ravi Mansour","Ravi","Male","Indian","1974-06-20","49","Married","Terminated","Permanent","Full Time","2017-10-26","2018-01-24","2024-06-09","Resignation - Relocation","6.6","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 2","CC-178","POS-00004","Specialist - Engineering & Maintenance","Engineering & Maintenance","G8","Supervisory","BLD-100008","Ramesh Kapoor","Doha Site","Qatar","Doha","Expatriate"
"BLD-100006","EMP000005","Ramesh Youssef","Ramesh","Male","Egyptian","1967-03-08","58","Married","Active","Permanent","Full Time","2021-09-30","2021-12-29",,,"4.3","Baladna Q.P.S.C. (Qatar)","Corporate","IT & Digital","Corporate","IT & Digital - Section 1","CC-289","POS-00005","Technician - IT & Digital","IT & Digital","G1","Staff","BLD-100808","Rajesh Mansour","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100007","EMP000006","Waleed Sharma","Waleed","Male","Egyptian","1992-10-20","30","Married","Terminated","Permanent","Full Time","2015-08-29","2015-11-27","2023-07-01","Resignation - Relocation","7.8","Baladna Egypt","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 2","CC-564","POS-00006","Operator - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G1","Staff","BLD-101507","Khalid Al-Marri","Cairo Site","Egypt","Cairo","Local"
"BLD-100008","EMP000007","Ramesh Kapoor","Ramesh","Male","Indian","1982-09-13","43","Other","Active","Permanent","Full Time","2019-09-18","2019-12-17",,,"6.3","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 2","CC-178","POS-00007","Assistant Manager - Engineering & Maintenance","Engineering & Maintenance","G12","Managerial","BLD-100413","Ahmed Ibrahim","Doha Site","Qatar","Doha","Expatriate"
"BLD-100009","EMP000008","Juan Al-Sayed","Juan","Male","Egyptian","1965-06-20","60","Married","Active","Permanent","Full Time","2011-04-03","2011-07-02",,,"14.7","Baladna Q.P.S.C. (Qatar)","Corporate","IT & Digital","Corporate","IT & Digital - Section 1","CC-289","POS-00008","Senior Manager - IT & Digital","IT & Digital","G10","Managerial","BLD-101147","Deepak Gurung","Doha Site","Qatar","Doha","Expatriate"
"BLD-100010","EMP000009","Maria Kapoor","Maria","Female","Indian","1966-07-13","58","Married","Terminated","Permanent","Full Time","2020-06-20","2020-09-18","2025-05-07","Resignation - Relocation","4.9","Baladna Q.P.S.C. (Qatar)","Commercial","Marketing","Commercial","Marketing - Section 2","CC-916","POS-00009","Technician - Marketing","Marketing","G2","Staff","BLD-101263","Shobha Mahmoud","Doha Site","Qatar","Doha","Expatriate"
"BLD-100011","EMP000010","Faisal Reyes","Faisal","Male","Nepali","1990-05-23","33","Married","Terminated","Permanent","Full Time","2010-10-21","2011-01-19","2023-09-01","Resignation - Relocation","12.9","Baladna Q.P.S.C. (Qatar)","Corporate","Finance","Corporate","Finance - Section 2","CC-502","POS-00010","Officer - Finance","Finance","G4","Staff","BLD-101474","Rajesh Malik","Doha Site","Qatar","Doha","Expatriate"
